PUBCHEM_SID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE
134311358,Inactive,0
134311360,Inactive,0
134311365,Inactive,0
134311366,Inactive,0
134311370,Inactive,0
134311372,Inactive,0
134311376,Inactive,0
134311377,Inactive,0
134311381,Inactive,0
134311385,Inactive,0
134311386,Inactive,0
134311387,Inactive,0
134311394,Active,100
134311396,Inactive,0
134311397,Inactive,0
134311401,Inactive,0
134311409,Inactive,0
134311410,Inactive,0
134311411,Inactive,0
134311412,Inactive,0
134311413,Inactive,0
134311416,Inactive,0
134311418,Inactive,0
134311425,Inactive,0
134311426,Inactive,0
134311428,Inactive,0
134311429,Inactive,0
134311431,Inactive,0
134311433,Inactive,0
134311434,Inactive,0
134311435,Inactive,0
134311438,Inactive,0
134311439,Inactive,0
134311441,Inactive,0
134311442,Inactive,0
134311443,Inactive,0
134311446,Inactive,0
134311449,Inactive,0
134311453,Active,100
134311458,Inactive,0
134311459,Inactive,0
134311461,Inactive,0
134311467,Inactive,0
134311468,Inactive,0
134311469,Inactive,0
134311470,Inactive,0
134311474,Inactive,0
134311485,Inactive,0
134311492,Inactive,0
134311496,Inactive,0
134311497,Inactive,0
134311502,Inactive,0
134311506,Inactive,0
134311507,Inactive,0
134311520,Inactive,0
134311522,Inactive,0
134311526,Inactive,0
134311527,Inactive,0
134311531,Inactive,0
134311532,Inactive,0
134311533,Inactive,0
134311534,Inactive,0
134311535,Inactive,0
134311537,Inactive,0
134311538,Inactive,0
134311541,Active,100
134311543,Inactive,0
134311550,Inactive,0
134311551,Inactive,0
134311554,Inactive,0
134311556,Inactive,0
134311558,Inactive,0
134311559,Inactive,0
134311561,Inactive,0
134311565,Inactive,0
134311574,Inactive,0
134311582,Inactive,0
134311584,Inactive,0
134311585,Active,100
134311587,Inactive,0
134311590,Inactive,0
134311595,Inactive,0
134311596,Inactive,0
134311597,Inactive,0
134311602,Inactive,0
134311603,Inactive,0
134311611,Inactive,0
134311612,Inactive,0
134311614,Inactive,0
134311615,Inactive,0
134311618,Inactive,0
134311621,Inactive,0
134311622,Inactive,0
134311623,Inactive,0
134311624,Inactive,0
134311629,Inactive,0
134311630,Inactive,0
134311632,Inactive,0
134311633,Inactive,0
134311634,Inactive,0
134311635,Inactive,0
134311636,Active,100
134311637,Active,100
134311639,Inactive,0
134311642,Inactive,0
134311643,Inactive,0
134311644,Inactive,0
134311645,Inactive,0
134311648,Inactive,0
134311650,Inactive,0
134311652,Inactive,0
134311653,Inactive,0
134311654,Inactive,0
134311655,Inactive,0
134311656,Inactive,0
134311660,Inactive,0
134311662,Inactive,0
134311663,Inactive,0
134311664,Inactive,0
134311665,Inactive,0
134311666,Inactive,0
134311668,Inactive,0
134311669,Inactive,0
134311670,Inactive,0
134311673,Inactive,0
134311674,Inactive,0
134311675,Inactive,0
134311676,Inactive,0
134311677,Inactive,0
134311683,Inactive,0
134311684,Inactive,0
134311685,Inactive,0
134311686,Inactive,0
134311691,Inactive,0
134311692,Inactive,0
134311693,Inactive,0
134311694,Active,100
134311695,Inactive,0
134311696,Inactive,0
134311697,Inactive,0
134311699,Inactive,0
134311701,Inactive,0
134311703,Inactive,0
134311706,Inactive,0
134311707,Inactive,0
134311709,Inactive,0
134311719,Inactive,0
134311721,Inactive,0
