PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Vendor Supplied Gene Symbol,Raw Sample Value,Median Negative Control on Plate,Median Positive Control on Plate,PPT Sample as Percentage of Negative Control,PPT MAD Z-Score,PPT Log MAD Z-Score,"Cell Count, Sample",Median Negative Control Cell Count on Plate,Median Positive Control Cell Count on Plate,"Sample Cell Count, MAD Z-Score Normalized to Negative Control",Sample Mitochondrial Signal,Median Negative Control Mitochondrial Signal on Plate,Median Positive Control Mitochondrial Signal on Plate,"Sample mitochondrial signal, MAD Z-Score Normalized to Negative Control",HUGO Gene Symbol,Entrez GeneID,CatalogNumber,REFSEQ,PLATE ID,Row Number,Column Number,Passed Initial Activity Threshold?
RESULT_TYPE,,,,,,,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,INTEGER,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,TARGET_NCBI_GENE_ID,STRING,STRING,STRING,INTEGER,INTEGER,STRING
RESULT_UNIT,,,,,,,,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,,,,,,NONE,NONE,
10726,135625222,,Inactive,0,,,C20orf117,26.33,34.3386,94.6928,76.6775,-0.881184,-1.07176,994,1108.5,937,0.499165,53.1187,55.7682,69.6855,0.843825,C20orf117,140710,M-032756-00,NM_199181,QDA103909,14,12,No
10727,135625223,,Inactive,0,,,C20orf118,46.9012,35.7543,94.1109,131.176,0.167815,0.15745,1082,1101,972,1.25248,47.2274,62.1164,73.382,-0.369202,C20orf118,140711,M-032757-00,NM_080628,QDA103960,15,21,No
10728,135625224,,Inactive,0,,,C14orf145,51.6,34.8669,94.0704,147.991,0.491469,0.433565,1126,1288,1000,0.302301,42.2735,43.9986,57.1148,0.89622,C14orf145,145508,M-032761-01,NM_152446,QDA103765,11,3,No
10729,135625225,,Active,100,,,IGFL2,15.2276,33.8533,95.2926,44.9812,-1.49128,-2.2928,1189,1096,946.5,2.14655,45.9209,58.7768,70.1715,-0.236834,IGFL2,147920,M-032765-01,NM_001002915,QDA103813,15,6,Yes
10730,135625226,,Inactive,0,,,LOC148206,45.5232,30.2078,93.5748,150.7,0.543613,0.475093,856,1272.5,991.5,-1.46229,32.8271,44.1862,54.2151,-0.47889,ZNF714,148206,M-032766-00,NM_182515,QDA103737,7,7,No
10731,135625227,,Inactive,0,,,TCF23,24.5614,36.186,95.2725,67.8754,-1.05061,-1.35091,874,1078,924.5,-0.253371,46.7963,58.3131,68.5391,-0.102872,TCF23,150921,M-032770-00,NM_175769,QDA104002,7,10,No
10732,135625228,,Inactive,0,,,LOC152573,65.0327,36.0002,94.9202,180.645,1.12,0.890016,505,1060.5,948.5,-3.18282,43.9604,59.1218,70.3279,-0.474907,-,152573,M-032771-01,NM_001080505,QDA103891,10,6,No
10733,135625229,,Inactive,0,,,CLEC2L,47.5231,38.7128,94.8327,122.758,0.00578215,0.00560905,1060,1071,930,1.31365,51.7925,58.5053,70.947,0.419485,CLEC2L,154790,M-032773-00,NM_001080511,QDA103887,13,6,No
10734,135625230,,Inactive,0,,,FLJ16636,42.5047,30.2078,93.5748,140.708,0.351281,0.318032,884,1272.5,991.5,-1.26962,33.5973,44.1862,54.2151,-0.368875,ZNF782,158431,M-032777-00,NM_001001662,QDA103737,9,7,No
10735,135625231,,Inactive,0,,,ZXDB,39.6368,35.7543,94.1109,110.859,-0.22326,-0.22781,858,1101,972,-0.528911,53.1469,62.1164,73.382,0.232283,ZXDB,158586,M-032778-00,NM_007157,QDA103960,3,3,No
